Panelist,QQ1,QQ2,Gender,Age,Task,Rating,ResponseTime
0,Walmart,Yes,male,33,1,3,5.879
0,Walmart,Yes,male,33,2,4,3.382
0,Walmart,Yes,male,33,3,5,2.949
0,Walmart,Yes,male,33,4,4,3.907
0,Walmart,Yes,male,33,5,5,8.447
0,Walmart,Yes,male,33,6,4,3.242
0,Walmart,Yes,male,33,7,2,4.419
0,Walmart,Yes,male,33,8,4,3.454
0,Walmart,Yes,male,33,9,5,1.892
0,Walmart,Yes,male,33,10,4,1.723
0,Walmart,Yes,male,33,11,5,1.625
0,Walmart,Yes,male,33,12,3,1.873
0,Walmart,Yes,male,33,13,4,2.157
0,Walmart,Yes,male,33,14,5,1.607
0,Walmart,Yes,male,33,15,4,3.081
0,Walmart,Yes,male,33,16,2,3.551
0,Walmart,Yes,male,33,17,3,1.243
0,Walmart,Yes,male,33,18,4,1.517
0,Walmart,Yes,male,33,19,5,1.706
0,Walmart,Yes,male,33,20,2,2.918
0,Walmart,Yes,male,33,21,4,2.348
1,Walmart,Yes,male,30,1,3,4.175
1,Walmart,Yes,male,30,2,2,3.53
1,Walmart,Yes,male,30,3,3,0.844
1,Walmart,Yes,male,30,4,3,0.632
1,Walmart,Yes,male,30,5,2,0.612
1,Walmart,Yes,male,30,6,2,0.815
1,Walmart,Yes,male,30,7,3,1.732
1,Walmart,Yes,male,30,8,3,0.599
1,Walmart,Yes,male,30,9,2,0.584
1,Walmart,Yes,male,30,10,3,0.482
1,Walmart,Yes,male,30,11,4,0.816
1,Walmart,Yes,male,30,12,3,0.465
1,Walmart,Yes,male,30,13,2,1.102
1,Walmart,Yes,male,30,14,1,0.566
1,Walmart,Yes,male,30,15,2,0.628
1,Walmart,Yes,male,30,16,3,0.465
1,Walmart,Yes,male,30,17,3,0.432
1,Walmart,Yes,male,30,18,3,0.548
1,Walmart,Yes,male,30,19,3,0.433
1,Walmart,Yes,male,30,20,3,0.499
1,Walmart,Yes,male,30,21,3,1.065
2,Walmart,Yes,male,33,1,4,5.981
2,Walmart,Yes,male,33,2,3,2.105
2,Walmart,Yes,male,33,3,4,2.068
2,Walmart,Yes,male,33,4,2,1.389
2,Walmart,Yes,male,33,5,5,1.827
2,Walmart,Yes,male,33,6,3,1.671
2,Walmart,Yes,male,33,7,4,1.536
2,Walmart,Yes,male,33,8,4,1.803
2,Walmart,Yes,male,33,9,2,1.721
2,Walmart,Yes,male,33,10,5,1.429
2,Walmart,Yes,male,33,11,3,1.445
2,Walmart,Yes,male,33,12,4,1.261
2,Walmart,Yes,male,33,13,4,0.562
2,Walmart,Yes,male,33,14,5,1.223
2,Walmart,Yes,male,33,15,3,1.628
2,Walmart,Yes,male,33,16,4,1.463
2,Walmart,Yes,male,33,17,2,1.299
2,Walmart,Yes,male,33,18,5,1.102
2,Walmart,Yes,male,33,19,3,1.538
2,Walmart,Yes,male,33,20,4,1.01
2,Walmart,Yes,male,33,21,2,1.367
3,Walmart,Yes,male,33,1,3,5.443
3,Walmart,Yes,male,33,2,4,1.083
3,Walmart,Yes,male,33,3,5,1.689
3,Walmart,Yes,male,33,4,3,1.089
3,Walmart,Yes,male,33,5,4,0.981
3,Walmart,Yes,male,33,6,4,1.424
3,Walmart,Yes,male,33,7,4,3.06
3,Walmart,Yes,male,33,8,5,1.368
3,Walmart,Yes,male,33,9,3,1.806
3,Walmart,Yes,male,33,10,4,1.126
3,Walmart,Yes,male,33,11,4,1.625
3,Walmart,Yes,male,33,12,2,1.089
3,Walmart,Yes,male,33,13,4,1.155
3,Walmart,Yes,male,33,14,5,2.958
3,Walmart,Yes,male,33,15,4,3.524
3,Walmart,Yes,male,33,16,3,2.085
3,Walmart,Yes,male,33,17,4,1.694
3,Walmart,Yes,male,33,18,5,1.105
3,Walmart,Yes,male,33,19,4,2.074
3,Walmart,Yes,male,33,20,5,3.01
3,Walmart,Yes,male,33,21,2,1.773
5,Walmart,Yes,male,17,1,3,1.43
5,Walmart,Yes,male,17,2,3,0.459
5,Walmart,Yes,male,17,3,3,0.363
5,Walmart,Yes,male,17,4,3,0.297
5,Walmart,Yes,male,17,5,3,0.229
5,Walmart,Yes,male,17,6,3,0.213
5,Walmart,Yes,male,17,7,3,0.264
5,Walmart,Yes,male,17,8,4,0.245
5,Walmart,Yes,male,17,9,3,0.28
5,Walmart,Yes,male,17,10,1,0.179
5,Walmart,Yes,male,17,11,1,0.21
5,Walmart,Yes,male,17,12,2,0.16
5,Walmart,Yes,male,17,13,2,0.144
5,Walmart,Yes,male,17,14,2,0.122
5,Walmart,Yes,male,17,15,2,0.077
5,Walmart,Yes,male,17,16,3,0.111
5,Walmart,Yes,male,17,17,3,0.129
5,Walmart,Yes,male,17,18,3,0.128
5,Walmart,Yes,male,17,19,2,0.147
5,Walmart,Yes,male,17,20,2,0.13
5,Walmart,Yes,male,17,21,1,0.065
6,Walmart,Yes,male,33,1,4,4.823
6,Walmart,Yes,male,33,2,5,1.373
6,Walmart,Yes,male,33,3,4,1.798
6,Walmart,Yes,male,33,4,2,2.057
6,Walmart,Yes,male,33,5,3,0.911
6,Walmart,Yes,male,33,6,4,0.991
6,Walmart,Yes,male,33,7,3,1.777
6,Walmart,Yes,male,33,8,5,1.305
6,Walmart,Yes,male,33,9,3,1.458
6,Walmart,Yes,male,33,10,4,1.442
6,Walmart,Yes,male,33,11,2,1.543
6,Walmart,Yes,male,33,12,4,1.257
6,Walmart,Yes,male,33,13,5,1.393
6,Walmart,Yes,male,33,14,4,1.143
6,Walmart,Yes,male,33,15,5,2.026
6,Walmart,Yes,male,33,16,2,0.339
6,Walmart,Yes,male,33,17,3,1.325
6,Walmart,Yes,male,33,18,4,1.111
6,Walmart,Yes,male,33,19,2,1.905
6,Walmart,Yes,male,33,20,3,1.28
6,Walmart,Yes,male,33,21,5,1.289
