Panelist,Where do you primarily shop?,Do you use antiperspirants?,Gender,Age,Task,Benefit_anti-bac,Benefit_quick-drying,Caps_Cap2,Caps_Cap3,Caps_Cap5,Caps_Cap6,Caps_Cap4,Fragrance_fresh,Fragrance_citrus,Graphics_green-stripe,Graphics_green-image,Logo_DMC-green,Logo_DMC-grey,Time_72H,Time_48H,Variant_advanced,Variant_newformula,Rating,ResponseTime
0,Walmart,Yes,male,33,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,5.879
0,Walmart,Yes,male,33,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,3.382
0,Walmart,Yes,male,33,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2.949
0,Walmart,Yes,male,33,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,3.907
0,Walmart,Yes,male,33,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8.447
0,Walmart,Yes,male,33,6,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,3.242
0,Walmart,Yes,male,33,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,4.419
0,Walmart,Yes,male,33,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3.454
0,Walmart,Yes,male,33,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1.892
0,Walmart,Yes,male,33,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1.723
0,Walmart,Yes,male,33,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.625
0,Walmart,Yes,male,33,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1.873
0,Walmart,Yes,male,33,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,2.157
0,Walmart,Yes,male,33,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1.607
0,Walmart,Yes,male,33,15,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,4,3.081
0,Walmart,Yes,male,33,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.551
0,Walmart,Yes,male,33,17,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1.243
0,Walmart,Yes,male,33,18,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,1.517
0,Walmart,Yes,male,33,19,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,1.706
0,Walmart,Yes,male,33,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,2.918
0,Walmart,Yes,male,33,21,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,4,2.348
1,Walmart,Yes,male,30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,4.175
1,Walmart,Yes,male,30,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,3.53
1,Walmart,Yes,male,30,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0.844
1,Walmart,Yes,male,30,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0.632
1,Walmart,Yes,male,30,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.612
1,Walmart,Yes,male,30,6,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0.815
